TopK érték:	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	
folds 1:	13%	16%	18%	22%	26%	28%	32%	34%	37%	40%	41%	44%	45%	48%	49%	50%	51%	51%	52%	53%	54%	
folds 2:	16%	19%	21%	23%	26%	28%	30%	32%	34%	36%	37%	39%	41%	43%	44%	46%	47%	49%	50%	50%	51%	
folds 3:	13%	17%	19%	20%	22%	25%	28%	28%	30%	32%	32%	35%	37%	39%	43%	45%	47%	49%	52%	54%	55%	
folds 4:	12%	15%	17%	19%	22%	24%	26%	28%	31%	33%	35%	37%	38%	40%	42%	45%	48%	49%	52%	54%	55%	
folds 5:	9%	12%	14%	17%	19%	22%	24%	26%	30%	34%	39%	41%	42%	44%	46%	47%	48%	50%	51%	53%	55%	
folds 6:	15%	18%	20%	25%	28%	30%	32%	34%	36%	37%	38%	40%	41%	42%	43%	43%	45%	46%	47%	49%	49%	
folds 7:	15%	18%	21%	23%	27%	29%	30%	33%	33%	34%	34%	35%	35%	36%	36%	37%	37%	38%	38%	39%	40%	
folds 8:	10%	11%	14%	16%	17%	18%	20%	22%	24%	27%	29%	31%	34%	36%	40%	43%	45%	47%	48%	50%	51%	
folds 9:	31%	33%	36%	41%	46%	58%	66%	69%	72%	74%	75%	76%	76%	76%	77%	78%	78%	79%	79%	79%	79%	
Összesen:	11%	15%	17%	20%	23%	26%	29%	31%	33%	36%	38%	40%	42%	43%	45%	47%	48%	50%	51%	52%	53%	
