TopK érték:	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	
folds 1:	3%	6%	10%	13%	16%	18%	22%	26%	28%	32%	34%	37%	40%	41%	44%	45%	48%	49%	50%	51%	
folds 2:	3%	8%	13%	16%	19%	21%	23%	26%	28%	30%	32%	34%	36%	37%	39%	41%	43%	44%	46%	47%	
folds 3:	4%	7%	10%	13%	17%	19%	20%	22%	25%	28%	28%	30%	32%	32%	35%	37%	39%	43%	45%	47%	
folds 4:	4%	7%	10%	12%	15%	17%	19%	22%	24%	26%	28%	31%	33%	35%	37%	38%	40%	42%	45%	48%	
folds 5:	3%	5%	7%	9%	12%	14%	17%	19%	22%	24%	26%	30%	34%	39%	41%	42%	44%	46%	47%	48%	
folds 6:	5%	8%	11%	15%	18%	20%	25%	28%	30%	32%	34%	36%	37%	38%	40%	41%	42%	43%	43%	45%	
folds 7:	4%	7%	10%	15%	18%	21%	23%	27%	29%	30%	33%	33%	34%	34%	35%	35%	36%	36%	37%	37%	
folds 8:	4%	6%	8%	10%	11%	14%	16%	17%	18%	20%	22%	24%	27%	29%	31%	34%	36%	40%	43%	45%	
folds 9:	13%	16%	24%	31%	33%	36%	41%	46%	58%	66%	69%	72%	74%	75%	76%	76%	76%	77%	78%	78%	
Összesen:	0%	4%	8%	11%	15%	17%	20%	23%	26%	29%	31%	33%	36%	38%	40%	42%	43%	45%	47%	48%	
